Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
K2-19 b,7.9193 +0.0003 -0.0002,0.0749 ± 0.0009,0.0969 +0.0079 -0.0028,--,30.8 +2.5 -0.9,--,7.0 ± 0.2,Transit,<a refstr=ENTRICAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171...46E/abstract target=ref>Entrican et al. 2026</a>
K2-157 b,0.3653 ± 0.0,0.0096 ± 0.0001,0.0036 ± 0.0013,--,1.14 +0.41 -0.42,--,0.935 ± 0.09,Transit,<a refstr=CASTRO_GONZALEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A.344C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2025</a>
K2-157 d,66.5 +0.71 -0.59,0.309 ± 0.0038,0.0732 ± 0.0077,0.0732 ± 0.0077,23.3 ± 2.5,23.3 ± 2.5,5.16,Radial Velocity,<a refstr=CASTRO_GONZALEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A.344C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2025</a>
K2-157 c,25.942 +0.045 -0.044,0.165 ± 0.0018,0.0967 ± 0.006,0.0967 ± 0.006,30.8 ± 1.9,30.8 ± 1.9,6.08,Radial Velocity,<a refstr=CASTRO_GONZALEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A.344C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2025</a>
EPIC 249893012 b,3.5951 ± 0.0003,0.047 +0.005 -0.007,0.0275 ± 0.0034,--,8.75 +1.09 -1.08,--,1.95 +0.09 -0.08,Transit,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>
EPIC 249893012 d,35.747 ± 0.005,0.22 +0.02 -0.04,0.032 +0.0077 -0.0076,--,10.18 +2.46 -2.42,--,3.94 +0.13 -0.12,Transit,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>
EPIC 249893012 c,15.624 ± 0.001,0.13 +0.01 -0.02,0.0462 +0.0058 -0.0059,--,14.67 +1.84 -1.89,--,3.67 +0.17 -0.14,Transit,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>
Kepler-88 d,1403.0 ± 14.0,2.4663,3.0505 ± 0.16,3.05 ± 0.16,965.147 ± 44.0067,965.0 ± 44.0,13.1,Radial Velocity,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>
KOI-142 b,10.9165 ± 0.0001,0.0959 ± 0.0008,0.03 ± 0.0036,0.0357 ± 0.0161,9.5 ± 1.1,11.3568 ± 5.1016,3.438 ± 0.075,Transit,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>
KOI-142 c,22.2649 ± 0.0007,0.1541,0.674 ± 0.016,0.6535 ± 0.0235,214.1 ± 5.2,207.7142 ± 7.4835,14.0,Transit Timing Variations,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>
Kepler-129 c,82.2,0.39,0.1353 +0.0409 -0.0378,0.0796 ± 0.0294,43.0 +13.0 -12.0,25.3137 ± 9.3419,2.52 ± 0.07,Transit,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>
Kepler-129 d,2646.0 +140.0 -94.0,4.0 ± 0.1,8.3 +1.1 -0.7,8.3 +1.1 -0.7,2637.9758 +349.6112 -222.4799,2637.9758 +349.6112 -222.4799,12.6,Radial Velocity,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>
Kepler-129 b,15.79,0.13,0.0629,0.0629,20.0,20.0,2.4 ± 0.04,Transit,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>
