Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
HD 191939 g,284.0 +10.0 -8.0,0.812 ± 0.028,0.0425 ± 0.0063,0.0425 ± 0.0063,13.5 ± 2.0,13.5 ± 2.0,3.74,Radial Velocity,<a refstr=ORELL_MIQUEL_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..40O/abstract target=ref>Orell-Miquel et al. 2023</a>
HD 125612 b,557.6999 +0.6813 -0.6934,1.349 +0.054 -0.059,2.974 +0.245 -0.258,2.974 +0.245 -0.258,945.2217 +77.868 -81.9997,945.2217 +77.868 -81.9997,13.2,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
HD 125612 d,2822.727 +15.026 -15.4172,3.982 +0.159 -0.174,7.178 +0.932 -0.445,7.28 ± 0.93,2281.3723 +296.2161 -141.4336,2313.8024 ± 295.5819,12.7,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
HD 125612 c,4.1547 ± 0.0004,0.051 ± 0.002,0.049 +0.008 -0.009,0.049 +0.008 -0.009,15.5736 +2.5426 -2.8605,15.5736 +2.5426 -2.8605,4.07,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
HD 108236 b,3.796 ± 0.0,0.0453 +0.001 -0.0009,0.0102,--,3.24,--,1.615 ± 0.051,Transit,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
TOI-1233.01,14.1757 ± 0.0001,0.1074 ± 0.0023,0.022,--,6.98,--,2.539 +0.062 -0.065,Transit,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
HD 108236 f,29.5411 +0.0003 -0.0004,0.1758 +0.0041 -0.0038,0.0149,--,4.72,--,2.017 +0.052 -0.057,Transit,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
HD 108236 c,6.2034 ± 0.0,0.062 ± 0.0012,0.0155,--,4.94,--,2.071 ± 0.052,Transit,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
HD 108236 e,19.59 ± 0.0001,0.1367 +0.0022 -0.002,0.0306,--,9.71,--,3.083 ± 0.052,Transit,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
TOI-1203 c,13.0766 +0.0079 -0.0072,--,0.0172 ± 0.0016,0.0172 ± 0.0016,5.46 +0.51 -0.5,5.46 +0.51 -0.5,2.2,Radial Velocity,<a refstr=GANDOLFI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250910136G/abstract target=ref>Gandolfi et al. 2025</a>
