Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
Kepler-296 b,10.8644 +0.0001 -0.0,0.079 ± 0.013,0.0101,--,3.22,--,1.61 +0.29 -0.27,Transit,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>
Kepler-296 f,63.3363 ± 0.0006,0.255 +0.043 -0.042,0.0123,--,3.89,--,1.8 +0.31 -0.3,Transit,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>
Kepler-186 d,13.343 ± 0.0,0.0781 ± 0.01,0.008,--,2.54,--,1.4 ± 0.16,Transit,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>
Kepler-186 c,7.2673 ± 0.0,0.0451 ± 0.007,0.0066,--,2.1,--,1.25 ± 0.14,Transit,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>
Kepler-186 b,3.8868 ± 0.0,0.0343 ± 0.0046,0.0039,--,1.24,--,1.07 ± 0.12,Transit,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>
Kepler-186 e,22.4077 ± 0.0001,0.11 ± 0.015,0.0068,--,2.15,--,1.27 +0.15 -0.14,Transit,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>
Kepler-186 f,129.9441 +0.0013 -0.0012,0.432 +0.171 -0.053,0.0054,--,1.71,--,1.17 ± 0.08,Transit,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>
Kepler-249 b,3.3065 ± 0.0,0.035,0.0042,--,1.32,--,1.09 ± 0.05,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-249 d,15.3685 ± 0.0001,0.097,0.0097,--,3.09,--,1.57 ± 0.14,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-249 c,7.1137 ± 0.0,0.058,0.0091,--,2.89,--,1.51 ± 0.09,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-114 c,8.041,0.0648 ± 0.0024,0.009 ± 0.002,--,2.8 ± 0.6,--,1.6 ± 0.18,Transit,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>
Kepler-114 d,11.776,0.0836 ± 0.003,0.012 ± 0.005,--,3.9 ± 1.7,--,2.53 ± 0.28,Transit,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>
Kepler-114 b,5.1885 ± 0.0,0.053,0.0034 +0.0015 -0.001,--,1.09 +0.49 -0.31,--,1.26 ± 0.13,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-267 b,3.3537 ± 0.0,0.037,0.119 +0.067 -0.056,--,37.9 +21.3 -17.9,--,1.98 ± 0.09,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-267 c,6.8774 ± 0.0,0.06,0.0163,--,5.18,--,2.13 ± 0.11,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-267 d,28.4645 ± 0.0002,0.154,0.0182,--,5.77,--,2.27 ± 0.12,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-54 b,8.0109 ± 0.0001,0.0619 ± 0.0025,0.0031 +0.0011 -0.0007,--,0.98 +0.34 -0.22,--,2.1,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-54 d,20.9957 ± 0.0001,0.126,0.0381,--,12.0946,--,1.53 ± 0.08,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-54 c,12.0717 ± 0.0003,0.0809,0.0022 +0.0008 -0.0005,--,0.7 +0.25 -0.16,--,1.23,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-49 b,7.2,0.0593 ± 0.0023,0.0307 ± 0.003,--,9.77 +0.94 -0.95,--,2.579 +0.087 -0.086,Transit,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>
Kepler-49 d,2.5765 ± 0.0,0.031,0.7425,--,235.982,--,1.6 ± 0.07,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-49 c,10.91,0.0782 ± 0.003,0.0264 +0.0029 -0.0028,--,8.38 +0.92 -0.89,--,2.444 +0.083 -0.082,Transit,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>
Kepler-49 e,18.5961 ± 0.0001,0.116,0.0033,--,1.0381,--,1.56 ± 0.08,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-52 c,16.385 ± 0.0001,0.1038 ± 0.0044,0.1428,--,45.4,--,1.84,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-52 b,7.8774 ± 0.0,0.0637 ± 0.0027,0.4248,--,135.0,--,2.1,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-52 d,36.4452 ± 0.0003,0.182,0.2796,--,88.8775,--,1.95 ± 0.21,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-32 e,2.896 ± 0.0003,0.033,0.0128,--,4.0818,--,1.5 ± 0.1,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32 c,8.7522 ± 0.0003,0.09,0.5,--,158.9,--,2.0 ± 0.2,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32 b,5.9012 ± 0.0001,0.05,4.1,--,1303.0,--,2.2 ± 0.2,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32 f,0.743 ± 0.0001,0.013,5.8589,--,1862.11,--,0.82 ± 0.07,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32 d,22.7802 ± 0.0005,0.13,0.1256,--,39.9089,--,2.7 ± 0.2,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-26 c,17.2559 ± 0.0006,0.1072 ± 0.0049,0.0195 ± 0.002,--,6.2 ± 0.65,--,2.72 ± 0.12,Transit,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>
Kepler-26 b,12.28 ± 0.0003,0.0855 ± 0.0039,0.0161 +0.002 -0.0019,--,5.12 +0.65 -0.61,--,2.78 ± 0.11,Transit,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>
Kepler-26 e,46.8279 ± 0.0002,0.22,0.0201,--,6.39,--,2.41 ± 0.15,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-26 d,3.5439 ± 0.0,0.039,0.0039,--,1.24,--,1.07 ± 0.06,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-81 c,12.04,0.0835 ± 0.0035,0.014 +0.008 -0.006,--,4.3 +2.7 -1.8,--,2.37 ± 0.37,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-81 b,5.955,0.0522 ± 0.0022,0.054 +0.02 -0.017,--,17.2 +6.3 -5.5,--,2.42 ± 0.38,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-81 d,20.8378 ± 0.0002,0.128,0.0061,--,1.92,--,1.21 ± 0.27,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-83 b,9.77,0.073 ± 0.0028,0.0093 +0.0028 -0.002,--,2.94 +0.88 -0.62,--,2.83 ± 0.41,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-83 d,5.1698 ± 0.0,0.051,0.0129 +0.0088 -0.0041,--,4.1 +2.8 -1.3,--,1.94 ± 0.13,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-83 c,20.09,0.118 ± 0.0046,0.0064 +0.0016 -0.0012,--,2.03 +0.52 -0.39,--,2.36 ± 0.35,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-235 b,3.3402 ± 0.0,0.037,0.0176,--,5.6,--,2.23 ± 0.1,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-235 c,7.8249 ± 0.0001,0.065,0.0069,--,2.18,--,1.28 ± 0.08,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-235 e,46.1837 ± 0.0004,0.213,0.0175,--,5.56,--,2.22 ± 0.29,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-235 d,20.0605 ± 0.0001,0.122,0.0153,--,4.86,--,2.05 ± 0.1,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
