Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
LHS 1678 b,0.8602 ± 0.0,0.0124 ± 0.0006,0.0011,--,0.35,--,0.685 +0.037 -0.035,Transit,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>
LHS 1678 d,4.9652 ± 0.0,0.04 +0.0018 -0.0017,0.0029,--,0.907,--,0.981 +0.07 -0.072,Transit,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>
GJ 3293 c,122.6196 +0.2429 -0.2371,0.3618 ± 0.0005,0.0664 +0.0039 -0.004,0.0664 +0.0039 -0.004,21.09 +1.24 -1.26,21.09 +1.24 -1.26,4.87,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293 d,48.1345 +0.0628 -0.0661,0.1939 ± 0.0002,0.0239 ± 0.0033,0.0239 ± 0.0033,7.6 ± 1.05,7.6 ± 1.05,2.67,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293 e,13.2543 +0.0078 -0.0104,0.0821 ± 0.0,0.0103 ± 0.002,0.0103 ± 0.002,3.28 ± 0.64,3.28 ± 0.64,1.63,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293 b,30.5987 +0.0083 -0.0084,0.1434 ± 0.0,0.0741 ± 0.0028,0.0741 ± 0.0028,23.54 +0.88 -0.89,23.54 +0.88 -0.89,5.19,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
TOI-270 b,3.3599 ± 0.0001,0.032 ± 0.0002,0.0047 ± 0.0006,--,1.48 ± 0.18,--,1.28 +0.05 -0.04,Transit,<a refstr=KAYE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5464K/abstract target=ref>Kaye et al. 2022</a>
TOI-270 c,5.6605 ± 0.0,0.0453 ± 0.0003,0.0195 ± 0.001,--,6.2 ± 0.31,--,2.33 ± 0.01,Transit,<a refstr=KAYE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5464K/abstract target=ref>Kaye et al. 2022</a>
TOI-270 d,11.3819 ± 0.0001,0.0721 ± 0.0005,0.0132 ± 0.0005,--,4.2 ± 0.16,--,2.0 ± 0.05,Transit,<a refstr=KAYE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5464K/abstract target=ref>Kaye et al. 2022</a>
TOI-2267 c,3.495 ± 0.0,0.0263 +0.004 -0.0036,0.0049,--,1.55,--,1.14 ± 0.13,Transit,<a refstr=ZUNIGA_FERNANDEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A..85Z/abstract target=ref>Z&uacute;&ntilde;iga-Fern&aacute;ndez et al. 2025</a>
