           Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                   Ref_Estrella
          HD 140901                    2       15.25280          G7 IV 5610.000000   0.950000  1.060000                               <a refstr=SOUSA_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...487..373S/abstract target=ref>Sousa et al. 2008</a>
            HD 1461                    2       23.45340           G0 V 5765.000000   1.152288  1.020000                   <a refstr=D_IACUTE_AZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.134D/abstract target=ref>D&iacute;az et al. 2016</a>
          HD 147018                    2       40.42560           G9 V 5441.000000   0.937948  0.927000            <a refstr=SEGRANSAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..45S/abstract target=ref> S&eacute;gransan et al. 2010 </a>
          HD 147873                    2      109.05500           G1 V 5972.000000   2.290000  1.380000                           <a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>
          HD 152843                    2      107.89800             G0 6310.000000   1.430000  1.150000                       <a refstr=NICHOLSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.532.4632N/abstract target=ref>Nicholson et al. 2024</a>
          HD 154857                    2       63.44820           G5 V 5589.000000   2.300000  1.960000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 155358                    2       43.61970             G0 5905.000000   1.380000  1.150000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 155918                    2       27.56100            G2V 5771.840000   1.019060  1.030000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
          HD 156279                    2       36.19450             G6 5453.000000   0.950000  0.940000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 158259                    5       27.04980             G0 5801.890000   1.210000  1.080000                                                                  <a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>
          HD 159243                    2       73.30550           G0 V 6123.000000   1.120000  1.125000                         <a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>
          HD 159868                    2       55.85030           G5 V 5534.000000   2.130000  1.190000                                 <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
          HD 160691                    4       15.59810        G3 IV-V 5773.000000   1.330000  1.130000                         <a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>
