           Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                   Ref_Estrella
             K2-407                    2      218.37600             G4 5563.000000   0.927000  0.881000                  <a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
              K2-99                    2      519.22900          G0 IV 6069.000000   2.550000  1.440000                               <a refstr=SMITH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5035S/abstract target=ref>Smith et al. 2022</a>
            KOI-142                    3      376.86300           G6 V 5466.000000   0.897000  0.990000                               <a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>
         Kepler-101                    2      927.98100          G3 IV 5667.000000   1.560000  1.170000                             <a refstr=BONOMO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A...2B/abstract target=ref>Bonomo et al. 2014</a>
         Kepler-103                    2      494.83200             G2 6047.000000   1.492000  1.212000                             <a refstr=DUBBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5103D/abstract target=ref>Dubber et al. 2019</a>
         Kepler-129                    3      408.84500           G4 V 5770.000000   1.653000  1.178000                               <a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>
        Kepler-1489                    2     1283.05000              G 5565.530000   0.957000  0.977000                                  <a refstr=WANG_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.534.1913W/abstract target=ref>Wang et al. 2024</a>
        Kepler-1513                    2      349.24700            G V 5491.000000   0.950000  0.943000                          <a refstr=YAHALOMI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..620Y/abstract target=ref>Yahalomi et al. 2024</a>
         Kepler-407                    2      338.36800              G 5487.000000   1.040000  0.990000                         <a refstr=BRINKMAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..109B/abstract target=ref>Brinkman et al. 2025</a>
         Kepler-539                    2      307.31800           G2 V 5820.000000   0.952000  1.048000                           <a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...590A.112M/abstract target=ref>Mancini et al. 2016</a>
          Kepler-69                    2      730.62500           G4 V 5638.000000   0.930000  0.810000                         <a refstr=BARCLAY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..101B/abstract target=ref> Barclay et al. 2013 </a>
         Kepler-879                    2      802.67200              G 5456.750000   1.022000  0.974000                                  <a refstr=WANG_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.534.1913W/abstract target=ref>Wang et al. 2024</a>
         Kepler-963                    2      771.49400              G 5169.470000   0.928000  0.821000                                  <a refstr=WANG_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.534.1913W/abstract target=ref>Wang et al. 2024</a>
OGLE-2012-BLG-0026L                    2     4019.00000           G5 V         NaN        NaN  1.060000                                                                                                                                                            NaN
OGLE-2019-BLG-0468L                    2     4400.00000              G         NaN        NaN  0.920000                                                                                                                                                            NaN
      TIC 139270665                    2      189.87500             G2 5844.000000   1.016000  1.035000                             <a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>
      TIC 434398831                    2      217.01100           G4 V 5638.000000   0.909000  0.992000                                  <a refstr=VACH_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.540..806V/abstract target=ref>Vach et al. 2025</a>
           TOI-1062                    2       82.17330           G9 V 5328.000000   0.840000  0.940000                               <a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>
           TOI-1117                    3      167.59800           G5 V 5635.000000   1.050000  0.970000                            <a refstr=LOCKLEY_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.541..919L/abstract target=ref>Lockley et al. 2025</a>
           TOI-1203                    4       64.99430           G3 V 5737.000000   1.179000  0.886000                         <a refstr=GANDOLFI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250910136G/abstract target=ref>Gandolfi et al. 2025</a>
           TOI-1232                    2      328.60400           G1 V 5823.000000   1.072000  1.058000                          <a refstr=MIHAYLOV_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171..173M/abstract target=ref>Mihaylov et al. 2026</a>
           TOI-1288                    2      114.86500            G V 5388.000000   0.958300  0.955200                     <a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>
           TOI-1386                    2      146.85800            G5V 5735.000000   1.023500  1.036300                     <a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>
           TOI-1422                    2      155.14100           G2 V 5840.000000   1.019000  0.990300                      <a refstr=NAPONIELLO_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...667A...8N/abstract target=ref>Naponiello et al. 2022</a>
            TOI-199                    2      102.27000           G9 V 5255.000000   0.820000  0.936000                              <a refstr=HOBSON_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..201H/abstract target=ref>Hobson et al. 2023</a>
            TOI-421                    2       74.79690           G9 V 5291.000000   0.866000  0.833000                               <a refstr=KRENN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.301K/abstract target=ref>Krenn et al. 2024</a>
            TOI-451                    3      123.73900           G8 V 5490.000000   0.850000  0.930000                   <a refstr=BARRAGAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.546ag087B/abstract target=ref>Barrag&aacute;n et al. 2026</a>
           TOI-5398                    2      130.85500            G V 6000.000000   1.051000  1.146000                          <a refstr=MANTOVAN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A.129M/abstract target=ref>Mantovan et al. 2024</a>
            TOI-561                    4       85.79900           G9 V 5342.000000   0.843000  0.806000                         <a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>
           TOI-6041                    2       72.47310             G7 5445.000000   0.879000  0.885000                            <a refstr=HEIDARI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.134H/abstract target=ref>Heidari et al. 2026</a>
           TOI-6109                    2      151.73800             G3 5660.000000   1.021000  1.030000                            <a refstr=DATTILO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..318D/abstract target=ref>Dattilo et al. 2025</a>
           TOI-6695                    2      282.53600        F5V-G0V 6400.000000   1.517000  1.338000                       <a refstr=EBERHARDT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..298E/abstract target=ref>Eberhardt et al. 2025</a>
           TOI-7510                    3      249.00600             G3 5720.000000   1.035000  1.063000                          <a refstr=ALMENARA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704L..16A/abstract target=ref>Almenara et al. 2025</a>
            TOI-763                    2       95.12740              G 5450.000000   0.897000  0.917000                         <a refstr=FRIDLUND_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4503F/abstract target=ref>Fridlund et al. 2020</a>
           WASP-126                    2      216.52600             G2 5800.000000   1.270000  1.120000                                         <a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>
           WASP-148                    2      246.35300              G 5555.000000   0.912000  0.954000                         <a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A.134A/abstract target=ref>Almenara et al. 2022</a>
            WASP-47                    4      264.78000             G9 5565.000000   1.156000  1.058000                               <a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>
             WASP-8                    2       89.96060           G8 V 5690.000000   0.960000  1.040000                            <a refstr=BORSATO_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3810B/abstract target=ref>Borsato et al. 2021</a>
             XO-2 N                    4      154.27300           G8 V 5290.000000   0.998000  0.960000                          <a refstr=RUGGIERI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.116R/abstract target=ref>Ruggieri et al. 2024</a>
             XO-2 S                    4      151.39800           G8 V 5325.000000   1.020000  0.980000                          <a refstr=RUGGIERI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.116R/abstract target=ref>Ruggieri et al. 2024</a>
            rho CrB                    3       17.46710             G0 5817.000000   1.361700  1.000000                              <a refstr=BREWER_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...46B/abstract target=ref>Brewer et al. 2023</a>
            tau Cet                    3        3.60304          G8.5V 5310.000000   0.830000  0.783000                               <a refstr=SOUSA_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...487..373S/abstract target=ref>Sousa et al. 2008</a>

           Estrella               Planeta  Periodo(Dias)  Semi_Eje(UA)  Masa(Jup)  Mp_sin_i(Jup)  Masa(Tierra)  Mp_sin_i(Tierra)  Radio(Tierra)                    Metodo                                                                                                                                                     Referencia
            tau Cet             tau Cet g      20.000000      0.133000   0.005506       0.005506      1.750000          1.750000       1.180000           Radial Velocity                                 <a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>
            tau Cet             tau Cet f     636.130000      1.334000   0.012365       0.012365      3.930000          3.930000       1.810000           Radial Velocity                                 <a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>
            tau Cet             tau Cet h      49.410000      0.243000   0.005758       0.005758      1.830000          1.830000       1.190000           Radial Velocity                                 <a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>
           HD 20794            HD 20794 e     147.020000      0.509000   0.015008       0.015008      4.770000          4.770000       2.030000           Radial Velocity                                 <a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605A.103F/abstract target=ref>Feng et al. 2017</a>
           HD 20794            HD 20794 f     647.600000      1.354100   0.018312       0.018312      5.820000          5.820000       2.280000           Radial Velocity                                  <a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
           HD 20794            HD 20794 d      89.680000      0.362500   0.015000       0.009376      4.800000          2.980000       2.040000           Radial Velocity                                  <a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
           HD 20794            HD 20794 b      18.314000      0.125700   0.008500       0.006765      2.700000          2.150000       1.450000           Radial Velocity                                  <a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
             61 Vir              61 Vir d     123.010000      0.476000   0.072000       0.072000     22.900000         22.900000       5.110000           Radial Velocity                               <a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
             61 Vir              61 Vir c      38.021000      0.217500   0.057000       0.057000     18.200000         18.200000       4.460000           Radial Velocity                               <a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
             61 Vir              61 Vir b       4.215000      0.050201   0.016000       0.016000      5.100000          5.100000       2.110000           Radial Velocity                               <a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
             55 Cnc              55 Cnc f     260.580000      0.802000   0.141000       0.152598     44.812000         48.500000       7.590000           Radial Velocity                              <a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
             55 Cnc              55 Cnc e       0.736547      0.015440   0.025139       0.029418      7.990000          9.350000       1.875000           Radial Velocity                         <a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>
             55 Cnc              55 Cnc c      44.393600      0.247000   0.171400       0.178084     54.473800         56.600000       8.510000           Radial Velocity                              <a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
             55 Cnc              55 Cnc b      14.651552      0.118000   0.830600       0.868393    263.978500        276.000000      13.900000           Radial Velocity                              <a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
             55 Cnc              55 Cnc d    4799.000000      5.600000   3.878000       3.820000   1232.493000       1214.104515      13.000000           Radial Velocity                              <a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
             47 UMa              47 UMa c    2391.000000      3.600000   0.540000       0.540000    171.621000        171.621000      14.200000           Radial Velocity               <a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>
             47 UMa              47 UMa d   14002.000000     11.600000   1.640000       1.640000    521.220000        521.220000      13.500000           Radial Velocity               <a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>
             47 UMa              47 UMa b    1078.000000      2.100000   2.530000       2.530000    804.080000        804.080000      13.200000           Radial Velocity               <a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>
          HD 136352           HD 136352 b      11.577970      0.096400   0.014851       0.014536      4.720000          4.620000       1.664000           Radial Velocity                              <a refstr=DELREZ_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs...5..775D/abstract target=ref>Delrez et al. 2021</a>
          HD 136352           HD 136352 d     107.245000      0.425000   0.027751       0.033037      8.820000         10.500000       2.562000           Radial Velocity                              <a refstr=DELREZ_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs...5..775D/abstract target=ref>Delrez et al. 2021</a>
          HD 136352           HD 136352 c      27.592210      0.172100   0.035365       0.035491     11.240000         11.280000       2.916000           Radial Velocity                              <a refstr=DELREZ_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs...5..775D/abstract target=ref>Delrez et al. 2021</a>
          HD 140901           HD 140901 c   14386.000000     11.800000   1.800000            NaN    572.091133               NaN      13.400000           Radial Velocity                          <a refstr=PHILIPOT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A.107P/abstract target=ref>Philipot et al. 2023</a>
          HD 140901           HD 140901 b       9.023780      0.085000   0.049000       0.049000     15.573592         15.573592       4.070000           Radial Velocity                                 <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
          HD 160691           HD 160691 d       9.639200      0.095200   0.033005       0.033005     10.490000         10.490000       3.230000           Radial Velocity                         <a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>
          HD 160691           HD 160691 b     645.000000      1.500000   4.300000       1.749372   1366.662150        556.000000            NaN           Radial Velocity                         <a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>
          HD 160691           HD 160691 c    3947.000000      4.170000   4.400000       2.262227   1398.444991        719.000000            NaN           Radial Velocity                         <a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>
          HD 160691           HD 160691 e     307.900000      0.960000   7.000000       0.492719   2224.798849        156.600000            NaN           Radial Velocity                         <a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>
          HD 190360           HD 190360 c      17.117300      0.129600   0.080000       0.067500     25.426273         21.453417       5.440000           Radial Velocity                      <a refstr=GIOVINAZZI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...52G/abstract target=ref>Giovinazzi et al. 2025</a>
          HD 190360           HD 190360 b    2892.000000      3.963000   1.680000       1.450000    533.951724        460.853500      13.500000           Radial Velocity                      <a refstr=GIOVINAZZI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...52G/abstract target=ref>Giovinazzi et al. 2025</a>
            rho CrB             rho CrB e      12.904000      0.106100   0.011673       0.011673      3.710000          3.710000       1.750000           Radial Velocity                                  <a refstr=ZHAO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026ApJS..282...71Z/abstract target=ref>Zhao et al. 2026</a>
            rho CrB             rho CrB b      39.849000      0.224500   1.094915       1.094915    347.995000        347.995000      13.700000           Radial Velocity                                  <a refstr=ZHAO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026ApJS..282...71Z/abstract target=ref>Zhao et al. 2026</a>
            rho CrB             rho CrB c     102.036000      0.420600   0.086342       0.086342     27.442000         27.442000       5.680000           Radial Velocity                                  <a refstr=ZHAO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026ApJS..282...71Z/abstract target=ref>Zhao et al. 2026</a>
          HD 189567           HD 189567 c      33.688000      0.197000   0.022024       0.022024      7.000000          7.000000       2.540000           Radial Velocity                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
          HD 189567           HD 189567 b      14.288000      0.111000   0.026744       0.026744      8.500000          8.500000       2.850000           Radial Velocity                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
           HD 39091              pi Men c       6.267840      0.068390   0.011421       0.011000      3.630000          3.496112       2.018900                   Transit  <a refstr=KUNOVAC_HODZIC_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2893K/abstract target=ref>Kunovac Hod&#x17E;i&#x107; et al. 2021</a>
           HD 39091              pi Men d     124.640000      0.506000   0.042098       0.042098     13.380000         13.380000       3.720000           Radial Velocity                             <a refstr=HATZES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..223H/abstract target=ref>Hatzes et al. 2022</a>
           HD 39091            HD 39091 b    2088.800000      3.280000  14.100000       9.890000   4481.380539       3143.322945      12.300000           Radial Velocity                           <a refstr=DAMASSO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..31D/abstract target=ref>Damasso et al. 2020</a>
          HD 217107           HD 217107 c    5138.700000      5.922000   4.370000       4.513000   1388.910139       1434.306000      12.900000           Radial Velocity                      <a refstr=GIOVINAZZI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...52G/abstract target=ref>Giovinazzi et al. 2025</a>
          HD 217107           HD 217107 b       7.127017      0.073590   1.446000       1.413500    459.579877        449.233800      13.600000           Radial Velocity                      <a refstr=GIOVINAZZI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...52G/abstract target=ref>Giovinazzi et al. 2025</a>
           HD 45184            HD 45184 c      13.135400      0.110000   0.027700       0.027700      8.810000          8.810000       2.910000           Radial Velocity                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
           HD 45184            HD 45184 b       5.885400      0.064400   0.038400       0.038400     12.190000         12.190000       3.520000           Radial Velocity                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
          HD 164922           HD 164922 e      41.763000      0.229200   0.033100       0.033100     10.520120         10.520120       3.230000           Radial Velocity                       <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
          HD 164922           HD 164922 c      75.740000      0.341000   0.040902       0.040902     13.000000         13.000000       3.660000           Radial Velocity                           <a refstr=BENATTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..50B/abstract target=ref>Benatti et al. 2020</a>
          HD 164922           HD 164922 b    1207.000000      2.160000   0.364975       0.364975    116.000000        116.000000      13.300000           Radial Velocity                           <a refstr=BENATTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..50B/abstract target=ref>Benatti et al. 2020</a>
          HD 164922           HD 164922 d      12.458000      0.103000   0.012585       0.012585      4.000000          4.000000       1.830000           Radial Velocity                           <a refstr=BENATTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..50B/abstract target=ref>Benatti et al. 2020</a>
           HD 63433            HD 63433 c      20.543828      0.146000   0.048891            NaN     15.539000               NaN       2.692000                   Transit   <a refstr=MALLORQU_AMP_IACUTE_N_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...671A.163M/abstract target=ref>Mallorqu&iacute;n et al. 2023</a>
           HD 63433            HD 63433 d       4.209075      0.050300   0.003940            NaN      1.250000               NaN       1.073000                   Transit                      <a refstr=CAPISTRANT_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167...54C/abstract target=ref>Capistrant et al. 2024</a>
           HD 63433            HD 63433 b       7.107947      0.072000   0.068449            NaN     21.755000               NaN       2.140000                   Transit   <a refstr=MALLORQU_AMP_IACUTE_N_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...671A.163M/abstract target=ref>Mallorqu&iacute;n et al. 2023</a>
            HD 1461             HD 1461 c      13.505200      0.111700   0.017588       0.017588      5.590000          5.590000       2.230000           Radial Velocity                   <a refstr=D_IACUTE_AZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.134D/abstract target=ref>D&iacute;az et al. 2016</a>
            HD 1461             HD 1461 b       5.771520      0.063400   0.020262       0.020262      6.440000          6.440000       2.420000           Radial Velocity                   <a refstr=D_IACUTE_AZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.134D/abstract target=ref>D&iacute;az et al. 2016</a>
          HD 134060           HD 134060 c    1291.564600      2.392800   0.092200       0.092200     29.290000         29.290000       5.910000           Radial Velocity                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
          HD 134060           HD 134060 b       3.269600      0.044400   0.031800       0.031800     10.100000         10.100000       3.160000           Radial Velocity                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
           HD 96700            HD 96700 c      19.880000      0.141000   0.011012       0.011012      3.500000          3.500000       1.690000           Radial Velocity                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
           HD 96700            HD 96700 b       8.124500      0.077700   0.028003       0.028003      8.900000          8.900000       2.930000           Radial Velocity                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
           HD 96700            HD 96700 d     103.500000      0.424000   0.039959       0.039959     12.700000         12.700000       3.610000           Radial Velocity                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
          HD 134987           HD 134987 b     258.179990      0.810000   1.610000       1.610000    511.706300        511.706300      13.500000           Radial Velocity                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 134987           HD 134987 c    5000.000000      5.800000   0.820000       0.820000    260.000000        260.000000      13.900000           Radial Velocity                             <a refstr=JONES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403.1703J/abstract target=ref> Jones et al. 2010 </a>
          HD 134606           HD 134606 f      26.915000      0.178400   0.017714       0.017714      5.630000          5.630000       2.240000           Radial Velocity                                      <a refstr=LI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..155L/abstract target=ref>Li et al. 2024</a>
          HD 134606           HD 134606 e       4.320300      0.052700   0.007362       0.007362      2.340000          2.340000       1.330000           Radial Velocity                                      <a refstr=LI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..155L/abstract target=ref>Li et al. 2024</a>
          HD 134606           HD 134606 d     966.500000      1.941000   0.140957       0.140957     44.800000         44.800000       7.590000           Radial Velocity                                      <a refstr=LI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..155L/abstract target=ref>Li et al. 2024</a>
          HD 134606           HD 134606 c      58.883000      0.300700   0.035585       0.035585     11.310000         11.310000       3.370000           Radial Velocity                                      <a refstr=LI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..155L/abstract target=ref>Li et al. 2024</a>
          HD 134606           HD 134606 b      12.089000      0.104600   0.028600       0.028600      9.090000          9.090000       2.970000           Radial Velocity                                      <a refstr=LI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..155L/abstract target=ref>Li et al. 2024</a>
          HD 158259           HD 158259 b       2.178000           NaN   0.006985       0.006985      2.220000          2.220000       1.282280           Radial Velocity                                 <a refstr=HARA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636L...6H/abstract target=ref>Hara et al. 2020</a>
          HD 158259           HD 158259 f      12.028000           NaN   0.019319       0.019319      6.140000          6.140000       2.350000           Radial Velocity                                 <a refstr=HARA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636L...6H/abstract target=ref>Hara et al. 2020</a>
          HD 158259           HD 158259 e       7.951000           NaN   0.019130       0.019130      6.080000          6.080000       2.340000           Radial Velocity                                 <a refstr=HARA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636L...6H/abstract target=ref>Hara et al. 2020</a>
          HD 158259           HD 158259 d       5.198081           NaN   0.017022       0.017022      5.410000          5.410000       2.180000           Radial Velocity                                 <a refstr=HARA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636L...6H/abstract target=ref>Hara et al. 2020</a>
