      Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                        Ref_Estrella
      TOI-4504                    3      342.60500           K1 V 5315.000000   0.920000  0.890000                   <a refstr=VITKOVA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...978L..22V/abstract target=ref>V&iacute;tkov&aacute; et al. 2025</a>
      TOI-4600                    2      216.05600            K V 5170.000000   0.810000  0.890000                                <a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>
       TOI-500                    4       47.39240           K6 V 4440.000000   0.678000  0.740000                                 <a refstr=SERRANO_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs...6..736S/abstract target=ref>Serrano et al. 2022</a>
      TOI-5789                    4       20.45810           K1 V 5185.000000   0.833000  0.821000                                   <a refstr=BONOMO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.197B/abstract target=ref>Bonomo et al. 2026</a>
       TOI-712                    3       58.62120         K4.5 V 4622.000000   0.674000  0.732000                                      <a refstr=VACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...71V/abstract target=ref>Vach et al. 2022</a>
       TOI-815                    2       59.71170           K3 V 4869.000000   0.770000  0.776000                                <a refstr=PSARIDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A...5P/abstract target=ref>Psaridi et al. 2024</a>
       TOI-836                    2       27.50240            K V 4552.000000   0.665000  0.678000                               <a refstr=HAWTHORN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.3649H/abstract target=ref>Hawthorn et al. 2023</a>
       TOI-880                    2       60.66790              K 5050.000000   0.830000  0.870000                                    <a refstr=ZHANG_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..175Z/abstract target=ref>Zhang et al. 2025</a>
       TOI-942                    2      152.60100         K2.5 V 4969.000000   0.894000  0.822000                                  <a refstr=CARLEO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..71C/abstract target=ref>Carleo et al. 2021</a>
       TOI-969                    2       77.25540            K V 4435.000000   0.671000  0.734000                             <a refstr=LILLO_BOX_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.109L/abstract target=ref>Lillo-Box et al. 2023</a>
TYC 8998-760-1                    2       94.61770          K3 IV 4573.000000   0.953811  1.000000                                      <a refstr=BOHN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>
     V1298 Tau                    4      108.19900             K1 4970.000000   1.320000  1.100000                           <a refstr=LIVINGSTON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Natur.649..310L/abstract target=ref>Livingston et al. 2026</a>
      WASP-107                    2       64.74140             K6 4425.000000   0.657000  0.683000                                  <a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
      WASP-132                    3      122.91000           K4 V 4686.000000   0.758000  0.789000                                <a refstr=GRIEVES_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.144G/abstract target=ref>Grieves et al. 2025</a>
       WASP-84                    2      100.58800             K0 5280.000000   0.768000  0.853000                              <a refstr=ANDERSON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800L...9A/abstract target=ref>Anderson et al. 2015</a>
      WISPIT 1                    2      230.00700           K4 V 4670.000000   1.116100  0.720000                 <a refstr=VAN_CAPELLEVEEN_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A.221V/abstract target=ref>van Capelleveen et al. 2025</a>
       gam Lib                    2       47.40170         K0 III 4879.000000  12.380000  1.780000                                       <a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>

      Estrella          Planeta  Periodo(Dias)  Semi_Eje(UA)  Masa(Jup)  Mp_sin_i(Jup)  Masa(Tierra)  Mp_sin_i(Tierra)  Radio(Tierra)                    Metodo                                                                                                                                                          Referencia
     HD 219134      HD 219134 c       6.764580      0.065300   0.013718       0.009817      4.360000          3.120000       1.511000           Radial Velocity                                  <a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
     HD 219134      HD 219134 f      22.717000      0.146300   0.022968       0.020231      7.300000          6.430000       1.310000           Radial Velocity                                  <a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
     HD 219134      HD 219134 g      94.200000      0.375300   0.034000       0.034000     10.806220         10.806220       3.280000           Radial Velocity                                      <a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>
     HD 219134      HD 219134 b       3.092926      0.038760   0.014914       0.012000      4.740000          3.813960       1.602000           Radial Velocity                                  <a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
     HD 219134      HD 219134 d      46.859000      0.237000   0.050876       0.051600     16.170000         16.399946       1.610000           Radial Velocity                                  <a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
     HD 219134      HD 219134 h    2247.000000      3.110000   0.340000       0.340000    108.062200        108.062200      12.700000           Radial Velocity                                      <a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>
     HD 192310      HD 192310 b      74.720000      0.320000   0.053200       0.053173     16.900000         16.900000       4.270000           Radial Velocity                                  <a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>
     HD 192310      HD 192310 c     525.800000      1.180000   0.076000       0.075512     24.000000         24.000000       5.250000           Radial Velocity                                  <a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>
   HD 115404 A    HD 115404 A b      10.494880      0.088000   0.097000       0.097000     30.829355         30.829355       6.090000           Radial Velocity                                      <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
      GJ 414 A       GJ 414 A b      50.800000      0.232400   0.023912       0.023912      7.600000          7.600000       2.630000           Radial Velocity                                <a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>
      GJ 414 A       GJ 414 A c     749.830000      1.400000   0.169367       0.169367     53.830000         53.830000       8.400000           Radial Velocity                                <a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>
      HD 69830       HD 69830 d     197.000000      0.630000   0.057000       0.057000     18.100000         18.100000       4.450000           Radial Velocity                                  <a refstr=LOVIS_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.441..305L/abstract target=ref> Lovis et al. 2006 </a>
      HD 69830       HD 69830 b       8.667000      0.078500   0.032100       0.032100     10.200000         10.200000       3.170000           Radial Velocity                                  <a refstr=LOVIS_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.441..305L/abstract target=ref> Lovis et al. 2006 </a>
      HD 69830       HD 69830 c      31.560000      0.186000   0.037100       0.037100     11.800000         11.800000       3.460000           Radial Velocity                                  <a refstr=LOVIS_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.441..305L/abstract target=ref> Lovis et al. 2006 </a>
     HIP 56998      HD 101581 c       6.204010      0.057300   0.002950            NaN      0.937000               NaN       0.990000                   Transit                              <a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>
     HIP 56998      HD 101581 b       4.465690      0.046000   0.002600            NaN      0.827000               NaN       0.956000                   Transit                              <a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>
      HD 40307       HD 40307 g     197.800000      0.600000   0.022300       0.022300      7.100000          7.100000       2.560000           Radial Velocity                                <a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
      HD 40307       HD 40307 b       4.312300      0.046800   3.741000       0.012600   1188.996071          4.000000            NaN           Radial Velocity                                <a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
      HD 40307       HD 40307 f      51.760000      0.247000   0.016400       0.016400      5.200000          5.200000       2.130000           Radial Velocity                                <a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
      HD 40307       HD 40307 d      20.432000      0.132100   5.586000       0.029900   1775.389482          9.500000            NaN           Radial Velocity                                <a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
      HD 40307       HD 40307 c       9.618400      0.079900   5.879000       0.020800   1868.513205          6.600000            NaN           Radial Velocity                                <a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
     HD 113538      HD 113538 b     663.200000      1.240000   0.360000       0.360000    114.410000        114.410000      13.200000           Radial Velocity                                  <a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>
     HD 113538      HD 113538 c    1818.000000      2.440000   0.930000       0.930000    295.570000        295.570000      13.800000           Radial Velocity                                  <a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>
        GJ 143         GJ 143 b      35.612530      0.191500   0.071422            NaN     22.700000               NaN       2.610000                   Transit                              <a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>
        GJ 143       HD 21749 c       7.789930      0.069500   0.011641            NaN      3.700000               NaN       0.892000                   Transit                              <a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>
     HD 128311      HD 128311 c     921.538000      1.740000   3.789000       3.125000   1204.257870        993.218750      13.000000           Radial Velocity                              <a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>
     HD 128311      HD 128311 b     453.019000      1.084000   1.769000       1.769000    562.241270        562.241270      13.500000           Radial Velocity                              <a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>
      HD 48948       HD 48948 c      38.060000      0.195100   0.022874       0.022874      7.270000          7.270000       2.600000           Radial Velocity                                    <a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>
      HD 48948       HD 48948 b       7.340130      0.065200   0.015354       0.015354      4.880000          4.880000       2.060000           Radial Velocity                                    <a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>
      HD 48948       HD 48948 d     151.920000      0.489400   0.033320       0.033320     10.590000         10.590000       3.240000           Radial Velocity                                    <a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>
       HD 7924        HD 7924 d      24.451000      0.155100   4.934000       0.020262   1568.165360          6.440000            NaN           Radial Velocity                                  <a refstr=FULTON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...805..175F/abstract target=ref>Fulton et al. 2015</a>
       HD 7924        HD 7924 b       5.397920      0.060000   6.476000       0.020000   2058.256764          6.356600            NaN           Radial Velocity                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
       HD 7924        HD 7924 c      15.299000      0.113400   5.546000       0.024730   1762.676345          7.860000            NaN           Radial Velocity                                  <a refstr=FULTON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...805..175F/abstract target=ref>Fulton et al. 2015</a>
        14 Her         14 Her b    1766.410000      2.839000   8.900000       4.740000   2828.672822       1506.450000      12.500000           Radial Velocity                            <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
        14 Her      HD 145675 c   15732.458890     20.000000   7.900000       5.800000   2510.844415       1843.404761      12.600000           Radial Velocity                                      <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
     HD 153557      HD 153557 c      15.270180      0.111000   0.055000       0.055000     17.480562         17.480562       4.360000           Radial Velocity                                      <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
     HD 153557      HD 153557 b       7.299030      0.068000   0.064000       0.064000     20.341018         20.341018       4.770000           Radial Velocity                                      <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
      HD 99492       HD 99492 b      17.050300      0.120000   0.080232       0.080232     25.500000         25.500000       5.440000           Radial Velocity                               <a refstr=STALPORT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..90S/abstract target=ref>Stalport et al. 2023</a>
      HD 99492       HD 99492 c      95.233000           NaN   0.056320       0.056320     17.900000         17.900000       4.420000           Radial Velocity                               <a refstr=STALPORT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..90S/abstract target=ref>Stalport et al. 2023</a>
     HIP 54373      HIP 54373 b       7.760000      0.063000   0.027121       0.027121      8.620000          8.620000       2.870000           Radial Velocity                                      <a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>
     HIP 54373      HIP 54373 c      15.144000      0.099000   0.039140       0.039140     12.440000         12.440000       3.570000           Radial Velocity                                      <a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>
     HD 216520      HD 216520 b      35.450000      0.198000   0.032281       0.032281     10.260000         10.260000       3.180000           Radial Velocity                                      <a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>
     HD 216520      HD 216520 c     154.430000      0.528000   0.029701       0.029701      9.440000          9.440000       3.030000           Radial Velocity                                      <a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>
         7 CMa          7 CMa b     735.100000      1.758000   1.850000       1.850000    587.985500        587.985500      13.400000           Radial Velocity                                    <a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>
         7 CMa          7 CMa c     996.000000      2.153000   0.870000       0.870000    276.512100        276.512100      13.900000           Radial Velocity                                    <a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>
    BD-06 1339     BD-06 1339 c     125.940000      0.435000   0.170000       0.170000     53.000000         53.000000       8.380000           Radial Velocity                          <a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
    BD-06 1339     BD-06 1339 b       3.872800      0.042800   4.792000       0.027000   1523.033726          8.500000            NaN           Radial Velocity                          <a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
     HD 104067      HD 104067 b      55.851000      0.267400   0.195388       0.195388     62.100000         62.100000       9.200000           Radial Velocity                                       <a refstr=KANE_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..239K/abstract target=ref>Kane et al. 2024</a>
     HD 104067      HD 104067 c      13.899200      0.105800   0.041532       0.041532     13.200000         13.200000       3.690000           Radial Velocity                                       <a refstr=KANE_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..239K/abstract target=ref>Kane et al. 2024</a>
      TOI-5789       TOI-5789 b       2.763690      0.036080   0.006670       0.006670      2.120000          2.120000       1.260000           Radial Velocity                                   <a refstr=BONOMO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.197B/abstract target=ref>Bonomo et al. 2026</a>
      TOI-5789       TOI-5789 c      12.927748      0.100900   0.015732            NaN      5.000000               NaN       2.860000                   Transit                                   <a refstr=BONOMO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.197B/abstract target=ref>Bonomo et al. 2026</a>
      TOI-5789       TOI-5789 e      62.980000      0.290100   0.036529       0.036529     11.610000         11.610000       3.430000           Radial Velocity                                   <a refstr=BONOMO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.197B/abstract target=ref>Bonomo et al. 2026</a>
      TOI-5789       TOI-5789 d      29.650000      0.175600   0.013498       0.013498      4.290000          4.290000       1.910000           Radial Velocity                                   <a refstr=BONOMO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.197B/abstract target=ref>Bonomo et al. 2026</a>
     HD 114783      HD 114783 b     493.700000      1.160000   1.100000       1.100000    349.600000        349.600000      13.700000           Radial Velocity                        <a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>
     HD 114783      HD 114783 c    4352.000000      5.000000   1.900000       0.659000    603.873973        209.448920      13.400000           Radial Velocity                               <a refstr=PHILIPOT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A.107P/abstract target=ref>Philipot et al. 2023</a>
     HD 215152      HD 215152 d      10.864990      0.087990   2.424000       0.008813    770.416059          2.801000            NaN           Radial Velocity                                <a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
     HD 215152      HD 215152 b       5.759990      0.057638   1.779000       0.005723    565.416736          1.819000            NaN           Radial Velocity                                <a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
     HD 215152      HD 215152 c       7.282430      0.067393   1.475000       0.005412    468.796900          1.720000            NaN           Radial Velocity                                <a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
     HD 215152      HD 215152 e      25.196700      0.154170   3.069000       0.009052    975.415381          2.877000            NaN           Radial Velocity                                <a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
      HD 18143       HD 18143 b      10.285100      0.088000   0.034000       0.034000     10.806166         10.806166       3.280000           Radial Velocity                                      <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
      HD 18143       HD 18143 c   28982.417640     17.530000   9.998000            NaN   3177.648413               NaN      12.500000           Radial Velocity                                      <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
      TOI-2134       TOI-2134 b       9.229200      0.078000   0.028726            NaN      9.130000               NaN       2.690000                   Transit                               <a refstr=RESCIGNO_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5385R/abstract target=ref>Rescigno et al. 2024</a>
      TOI-2134       TOI-2134 c      95.500000      0.371000   0.131801            NaN     41.890000               NaN       7.270000                   Transit                               <a refstr=RESCIGNO_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5385R/abstract target=ref>Rescigno et al. 2024</a>
     BD-210397      BD-210397 b    1891.000000      2.630000   0.700000       0.700000    214.000000        214.000000      14.000000           Radial Velocity                                 <a refstr=FRENSCH_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.173F/abstract target=ref>Frensch et al. 2023</a>
     BD-210397      BD-210397 c    6240.000000      5.900000   4.800000       2.400000   1525.576354        759.000000      12.900000           Radial Velocity                               <a refstr=PHILIPOT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A.107P/abstract target=ref>Philipot et al. 2023</a>
        KOBE-1         KOBE-1 b       8.539900      0.070060   0.027688       0.027688      8.800000          8.800000       2.910000           Radial Velocity                <a refstr=BALSALOBRE_RUZA_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...694A..15B/abstract target=ref>Balsalobre-Ruza et al. 2025</a>
        KOBE-1         KOBE-1 c      29.671000      0.160710   0.039015       0.039015     12.400000         12.400000       3.560000           Radial Velocity                <a refstr=BALSALOBRE_RUZA_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...694A..15B/abstract target=ref>Balsalobre-Ruza et al. 2025</a>
     HD 156668      HD 156668 b       4.645500      0.050000   0.013000       0.013000      4.150000          4.150000       1.870000           Radial Velocity                                <a refstr=HOWARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...73H/abstract target=ref> Howard et al. 2011 </a>
     HD 156668      HD 156668 c     811.300000      1.570000   0.099100       0.099100     31.496795         31.496795       6.170000           Radial Velocity                            <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
     HIP 57274      HIP 57274 c      32.030000      0.178000   0.409024       0.409024    130.000000        130.000000      14.200000           Radial Velocity                              <a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>
     HIP 57274      HIP 57274 b       8.135200      0.070000  10.570000       0.020000   3359.446262          6.356600            NaN           Radial Velocity                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
     HIP 57274      HIP 57274 d     431.700000      1.010000   0.526700       0.526700    167.400000        167.400000      14.200000           Radial Velocity                              <a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>
      HD 39194       HD 39194 c      14.030900      0.108300   0.023566       0.023566      7.490000          7.490000       2.650000           Radial Velocity                               <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
      HD 39194       HD 39194 d      33.874000      0.194900   0.016235       0.016235      5.160000          5.160000       2.120000           Radial Velocity                               <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
      HD 39194       HD 39194 b       5.636920      0.058950   0.014536       0.014536      4.620000          4.620000       1.990000           Radial Velocity                               <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
     HD 181433      HD 181433 b       9.374500      0.082800   5.376000       0.022717   1708.645516          7.220000            NaN           Radial Velocity                               <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
     HD 181433      HD 181433 c    1018.500000      1.885000   6.944000       0.740966   2207.000458        235.500000            NaN           Radial Velocity                               <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
     HD 181433      HD 181433 d    6896.100000      6.740000   2.700000       0.651012    858.136699        206.910000      13.200000           Radial Velocity                               <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
    BD-11 4672     BD-11 4672 c      74.200000      0.300000   0.048359       0.048359     15.370000         15.370000       4.040000           Radial Velocity                                <a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>
    BD-11 4672     BD-11 4672 b    1634.000000      2.360000   0.650000       0.650000    206.589500        206.589500      14.100000           Radial Velocity                                <a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>
       TOI-836       TOI-836.01       8.595450      0.075000   0.030205            NaN      9.600000               NaN       2.587000                   Transit                               <a refstr=HAWTHORN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.3649H/abstract target=ref>Hawthorn et al. 2023</a>
       TOI-836        TOI-836 b       3.816730      0.042200   0.014253            NaN      4.530000               NaN       1.704000                   Transit                               <a refstr=HAWTHORN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.3649H/abstract target=ref>Hawthorn et al. 2023</a>
     HD 176986      HD 176986 c      16.812400      0.118730   6.601000       0.030677   2097.985315          9.750000            NaN           Radial Velocity                                       <a refstr=NARI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.252N/abstract target=ref>Nari et al. 2026</a>
     HD 176986      HD 176986 b       6.491640      0.062956   4.681000       0.016864   1487.754773          5.360000            NaN           Radial Velocity                                       <a refstr=NARI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.252N/abstract target=ref>Nari et al. 2026</a>
     HD 176986      HD 176986 d      61.376000      0.281490   0.021269       0.021269      6.760000          6.760000       2.490000           Radial Velocity                                       <a refstr=NARI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.252N/abstract target=ref>Nari et al. 2026</a>
     HD 114386      HD 114386 b     937.700010      1.730000   1.460000       1.140000    464.029474        362.326200      13.600000           Radial Velocity                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
