      Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                        Ref_Estrella
     HD 141399                    4       37.01690             K0 5600.000000   1.387236  1.070000                  <a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>
      HD 15337                    2       44.81550           K1 V 5131.000000   0.855000  0.829000              <a refstr=ROS_AMP_AACUTE_RIO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.282R/abstract target=ref>Ros&aacute;rio et al. 2024</a>
     HD 153557                    3       17.94120             K0 4837.000000   0.745171  0.790000                                              <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
     HD 156668                    2       24.33230             K2 4903.687158   0.774528  0.785167                            <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
      HD 15906                    2       45.56210            K V 4757.000000   0.762000  0.790000                                    <a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>
       HD 1605                    2       88.80470          K1 IV 4915.000000   3.490000  1.330000                                      <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
     HD 164604                    2       39.36330         K3.5 V 4663.000000   0.780000  0.770000                                       <a refstr=XIAO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260210919X/abstract target=ref>Xiao et al. 2026</a>
     HD 176986                    3       27.78430         K2.5 V 4931.000000   0.782000  0.789000                                       <a refstr=NARI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.252N/abstract target=ref>Nari et al. 2026</a>
     HD 177830                    2       62.76740             K0 4901.000000   3.260000  1.700000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
      HD 18143                    2       22.52430             K2 5078.000000   0.870000  0.850000                                              <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
