  Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                       Ref_Estrella
 HD 148164  HD 148164 c    5062.000000      6.150000   5.160000       5.160000   1640.002800       1640.002800      12.800000           Radial Velocity                     <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
  HD 75898   HD 75898 b     422.820000      1.202500   2.550000       2.550000    810.462438        810.462438      13.200000           Radial Velocity             <a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>
  HD 75898   HD 75898 c    6717.000000      7.390000   8.490000            NaN   2698.363175               NaN      12.600000           Radial Velocity             <a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>
  HD 13908   HD 13908 c     931.000000      2.030000   5.130000       5.130000   1630.400000       1630.400000      12.800000           Radial Velocity             <a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>
  HD 13908   HD 13908 b      19.382000      0.154000   0.865000       0.865000    274.910000        274.910000      13.900000           Radial Velocity             <a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>
 HIP 41378  HIP 41378 f     542.079700           NaN   0.037756            NaN     12.000000               NaN       9.200000                   Transit              <a refstr=GROUFFAL_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...701A.173G/abstract target=ref>Grouffal et al. 2025</a>
 HIP 41378  HIP 41378 e     369.000000           NaN   0.037756            NaN     12.000000               NaN       4.920000                   Transit                 <a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
 HIP 41378  HIP 41378 d     278.361800           NaN   0.014473            NaN      4.600000               NaN       3.540000                   Transit                 <a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
 HIP 41378  HIP 41378 c      31.708380      0.209300   0.020546            NaN      6.530000               NaN       2.505000                   Transit              <a refstr=LEONARDI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.211L/abstract target=ref>Leonardi et al. 2025</a>
 HIP 41378  HIP 41378 g      64.067000           NaN   0.021427       0.022024      6.810000          7.000000       2.500000           Radial Velocity              <a refstr=LEONARDI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.211L/abstract target=ref>Leonardi et al. 2025</a>
 HIP 41378  HIP 41378 b      15.571893      0.130300   0.028506            NaN      9.060000               NaN       2.419000                   Transit              <a refstr=LEONARDI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.211L/abstract target=ref>Leonardi et al. 2025</a>
 HD 106315  HD 106315 c      21.057040      0.153600   0.047824            NaN     15.200000               NaN       4.350000                   Transit                 <a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>
 HD 106315  HD 106315 b       9.552370      0.090700   0.039644            NaN     12.600000               NaN       2.440000                   Transit                 <a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>
  TOI-2458   TOI-2458 b       3.736590      0.048200   0.041878            NaN     13.310000               NaN       2.830000                   Transit           <a refstr=SUBJAK_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.235S/abstract target=ref>&Scaron;ubjak et al. 2025</a>
