Estrella,Planeta,Periodo(Dias),Semi_Eje(UA),Masa(Jup),Mp_sin_i(Jup),Masa(Tierra),Mp_sin_i(Tierra),Radio(Tierra),Metodo,Referencia
Kepler-54,Kepler-54 c,12.0717249,0.0809,0.00220244630304553,,0.7,,1.23,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-49,Kepler-49 b,7.2,0.05929,0.0307398576867926,,9.77,,2.579,Transit,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>
Kepler-49,Kepler-49 d,2.576549,0.031,0.742482404978986,,235.982,,1.6,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-49,Kepler-49 c,10.91,0.07821,0.0263664285993165,,8.38,,2.444,Transit,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>
Kepler-49,Kepler-49 e,18.596108,0.116,0.0032663851850096,,1.03815,,1.56,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-52,Kepler-52 c,16.3850021,0.10379,0.14284437451181,,45.4,,1.84,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-52,Kepler-52 b,7.8773565,0.0637,0.424757501301638,,135.0,,2.1,Transit,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>
Kepler-52,Kepler-52 d,36.445171,0.182,0.279639887569899,,88.8775,,1.95,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-32,Kepler-32 e,2.896,0.033,0.0128428104917632,,4.08181,,1.5,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32,Kepler-32 c,8.7522,0.09,0.5,,158.9,,2.0,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32,Kepler-32 b,5.90124,0.05,4.1,,1303.0,,2.2,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32,Kepler-32 f,0.74296,0.013,5.85885326480587,,1862.11,,0.82,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-32,Kepler-32 d,22.7802,0.13,0.125567441805162,,39.9089,,2.7,Transit,<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>
Kepler-26,Kepler-26 c,17.2559,0.10725,0.0195072837680521,,6.2,,2.72,Transit,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>
Kepler-26,Kepler-26 b,12.28,0.08551,0.0161092407891011,,5.12,,2.78,Transit,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>
Kepler-26,Kepler-26 e,46.827915,0.22,0.0201,,6.39,,2.41,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-26,Kepler-26 d,3.543919,0.039,0.0039,,1.24,,1.07,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-81,Kepler-81 c,12.04,0.08347,0.014,,4.3,,2.37,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-81,Kepler-81 b,5.955,0.0522,0.054,,17.2,,2.42,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-81,Kepler-81 d,20.837846,0.128,0.00606,,1.92,,1.21,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-83,Kepler-83 b,9.77,0.07295,0.00925027447279122,,2.94,,2.83,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-83,Kepler-83 d,5.169796,0.051,0.0129000426321238,,4.1,,1.94,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-83,Kepler-83 c,20.09,0.11796,0.00638709427883203,,2.03,,2.36,Transit,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>
Kepler-235,Kepler-235 b,3.340222,0.037,0.0176,,5.6,,2.23,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-235,Kepler-235 c,7.824904,0.065,0.00687,,2.18,,1.28,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-235,Kepler-235 e,46.183669,0.213,0.0175,,5.56,,2.22,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
Kepler-235,Kepler-235 d,20.060548,0.122,0.0153,,4.86,,2.05,Transit,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
