Estrella,Planeta,Periodo(Dias),Semi_Eje(UA),Masa(Jup),Mp_sin_i(Jup),Masa(Tierra),Mp_sin_i(Tierra),Radio(Tierra),Metodo,Referencia
GJ 180,GJ 180 d,106.3,0.309,0.0237863008526571,0.0237863008526571,7.56,7.56,2.66,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 180,GJ 180 c,24.329,0.129,0.0201365509863764,0.0201365509863764,6.4,6.4,2.41,Radial Velocity,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>
GJ 180,GJ 180 b,17.133,0.092,0.0204197212346223,0.0204197212346223,6.49,6.49,2.43,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
TRAPPIST-1,TRAPPIST-1 b,1.510826,0.01154,0.00432308745769223,,1.374,,1.116,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1,TRAPPIST-1 c,2.421937,0.0158,0.00411542823483365,,1.308,,1.097,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1,TRAPPIST-1 d,4.049219,0.02227,0.00122078452225952,,0.388,,0.788,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1,TRAPPIST-1 e,6.101013,0.02925,0.00217727548815358,,0.692,,0.92,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1,TRAPPIST-1 f,9.20754,0.03849,0.00326905958409186,,1.039,,1.045,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1,TRAPPIST-1 h,18.772866,0.06189,0.00102571070684692,,0.326,,0.755,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1,TRAPPIST-1 g,12.352446,0.04683,0.00415633080903306,,1.321,,1.129,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
55 Cnc B,55 Cnc B b,6.7994,0.044,0.0110122315152276,0.0110122315152276,3.5,3.5,1.69,Radial Velocity,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
55 Cnc B,55 Cnc B c,33.747,0.13,0.0166756648659162,0.0166756648659162,5.3,5.3,2.16,Radial Velocity,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
GJ 163,GJ 163 c,25.63058,0.1254,0.0213950854230249,0.0213950854230249,6.8,6.8,2.5,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>
GJ 163,GJ 163 b,8.63182,0.0607,0.0333511625711859,0.0333511625711859,10.6,10.6,3.25,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>
GJ 163,GJ 163 d,603.95116,1.0304,0.0925022810936664,0.0925022810936664,29.4,29.4,5.92,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>
GJ 676 A,GJ 676 A e,35.47358,0.181,0.021,0.021,6.674396547,6.674396547,2.47,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
GJ 676 A,GJ 676 A b,1051.44521,1.735,5.792,4.733,1840.862133344,1557.301,12.8,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
GJ 676 A,GJ 676 A c,13921.42302,9.726,13.492,6.8,4288.140867244,2161.244,12.3,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
GJ 676 A,GJ 676 A d,3.60076,0.039,0.012,0.012,3.813940884,3.813940884,1.78,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
GJ 3998,GJ 3998 d,41.78,0.189,0.0190983557992662,0.0190983557992662,6.07,6.07,2.34,Radial Velocity,<a refstr=STEFANOV_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...695A..62S/abstract target=ref>Stefanov et al. 2025</a>
GJ 3998,GJ 3998 c,13.727,0.09,0.0214581196953864,0.0214581196953864,6.82,6.82,2.5,Radial Velocity,<a refstr=STEFANOV_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...695A..62S/abstract target=ref>Stefanov et al. 2025</a>
GJ 3998,GJ 3998 b,2.65033,0.03,0.00786587965373403,0.00786587965373403,2.5,2.5,1.39,Radial Velocity,<a refstr=STEFANOV_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...695A..62S/abstract target=ref>Stefanov et al. 2025</a>
LHS 1678,LHS 1678 c,3.694284,0.0327,0.00440489260609106,,1.4,,0.941,Transit,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>
LHS 1678,LHS 1678 b,0.8602325,0.01239,0.00110122315152276,,0.35,,0.685,Transit,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>
LHS 1678,LHS 1678 d,4.9652229,0.04,0.00285,,0.907,,0.981,Transit,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>
GJ 3293,GJ 3293 c,122.6196,0.36175,0.0663562281722934,0.0663562281722934,21.09,21.09,4.87,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293,GJ 3293 d,48.1345,0.19394,0.0239121542963219,0.0239121542963219,7.6,7.6,2.67,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293,GJ 3293 e,13.2543,0.08208,0.0103199823805179,0.0103199823805179,3.28,3.28,1.63,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293,GJ 3293 b,30.5987,0.14339,0.0740647515967656,0.0740647515967656,23.54,23.54,5.19,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
TOI-270,TOI-270 b,3.35992,0.03197,0.00465660075501055,,1.48,,1.28,Transit,<a refstr=KAYE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5464K/abstract target=ref>Kaye et al. 2022</a>
TOI-270,TOI-270 c,5.66051,0.04526,0.0195073815412604,,6.2,,2.33,Transit,<a refstr=KAYE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5464K/abstract target=ref>Kaye et al. 2022</a>
TOI-270,TOI-270 d,11.38194,0.0721,0.0132146778182732,,4.2,,2.0,Transit,<a refstr=KAYE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.5464K/abstract target=ref>Kaye et al. 2022</a>
TOI-2267 A,TOI-2267 c,3.4950412,0.0263,0.00489,,1.55,,1.14,Transit,<a refstr=ZUNIGA_FERNANDEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A..85Z/abstract target=ref>Z&uacute;&ntilde;iga-Fern&aacute;ndez et al. 2025</a>
TOI-2267 A,TOI-2267 b,2.28909,0.0205,0.00306,,0.972,,1.0,Transit,<a refstr=ZUNIGA_FERNANDEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A..85Z/abstract target=ref>Z&uacute;&ntilde;iga-Fern&aacute;ndez et al. 2025</a>
TOI-2267 B,TOI-2267 d,2.0344671,0.0145,0.0119,,3.78,,1.77,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171...97G/abstract target=ref>Greklek-McKeon et al. 2026</a>
LP 791-18,LP 791-18 b,0.9479981,0.00978,0.00609,,1.94,,1.212,Transit,<a refstr=PETERSON_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.617..701P/abstract target=ref>Peterson et al. 2023</a>
LP 791-18,LP 791-18 d,2.75485,0.01992,0.00286318019395919,,0.91,,1.032,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...65G/abstract target=ref>Greklek-McKeon et al. 2025</a>
LP 791-18,LP 791-18 c,4.98991,0.02961,0.0225278793282943,,7.16,,2.488,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...65G/abstract target=ref>Greklek-McKeon et al. 2025</a>
GJ 3138,GJ 3138 b,1.22003,0.0197,0.00560047824308593,0.00560047824308593,1.78,1.78,1.18,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3138,GJ 3138 c,5.974,0.057,0.0131516848629771,0.0131516848629771,4.18,4.18,1.88,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3138,GJ 3138 d,257.8,0.698,0.0330365289620237,0.0330365289620237,10.5,10.5,3.23,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
K2-239,K2-239 b,5.24,0.0441,0.0043,,1.37,,1.1,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
K2-239,K2-239 c,7.775,0.0576,0.00306,,0.972,,1.0,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
K2-239,K2-239 d,10.115,0.0685,0.0043,,1.37,,1.1,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
TOI-700,TOI-700 d,37.42396,0.1633,0.00394,,1.25,,1.073,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
TOI-700,TOI-700 c,16.051137,0.0929,0.0229,,7.27,,2.6,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
TOI-700,TOI-700 b,9.977219,0.0677,0.00222,,0.704,,0.914,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
TOI-700,TOI-700 e,27.80978,0.134,0.00257,,0.818,,0.953,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
LHS 1903,LHS 1903 d,12.566287,0.08604,0.0187522570945019,,5.96,,2.5,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
LHS 1903,LHS 1903 e,29.31773,0.15135,0.018217377278048,,5.79,,1.732,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
LHS 1903,LHS 1903 b,2.1555098,0.02656,0.0103200341056991,,3.28,,1.382,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
LHS 1903,LHS 1903 c,6.226185,0.05387,0.0143159009697959,,4.55,,2.046,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
TOI-1266,TOI-1266 c,18.8027,0.105,0.00997393540093476,,3.17,,1.98,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..292G/abstract target=ref>Greklek-McKeon et al. 2025</a>
TOI-1266,TOI-1266 b,10.8945,0.073,0.0140327293022615,,4.46,,2.52,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..292G/abstract target=ref>Greklek-McKeon et al. 2025</a>
TOI-1266,TOI-1266 d,32.509,0.1513,0.0115785748502965,0.0144417550442557,3.68,4.59,1.74,Transit Timing Variations,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..292G/abstract target=ref>Greklek-McKeon et al. 2025</a>
Kepler-42,Kepler-42 c,0.45328509,0.006,0.18984143226694,,60.337,,0.73,Transit,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
Kepler-42,Kepler-42 d,1.865169,0.0154,0.00112571750076449,,0.357785,,0.57,Transit,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
Kepler-42,Kepler-42 b,1.2137672,0.0116,0.00222114821851025,,0.705944,,0.78,Transit,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
K2-3,K2-3 d,44.55603,0.2014,0.00692197409528595,,2.2,,1.458,Transit,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>
K2-3,K2-3 b,10.0546535,0.0747,0.0160778580122324,,5.11,,2.078,Transit,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>
K2-3,K2-3 c,24.646729,0.1357,0.00843222298880288,,2.68,,1.582,Transit,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>
TOI-663,TOI-663 c,4.6955507,0.0437,0.0114841842944517,,3.65,,2.26,Transit,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>
TOI-663,TOI-663 b,2.598902,0.0295,0.0140012657836466,,4.45,,2.27,Transit,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>
TOI-663,TOI-663 d,7.1027268,0.0576,0.0163610296797668,,5.2,,1.92,Transit,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>
Kepler-138,Kepler-138 e,38.23,0.1803,0.00135293130044225,,0.43,,0.797,Transit Timing Variations,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
Kepler-138,Kepler-138 c,13.7815,0.0913,0.00723660928143531,,2.3,,1.51,Transit,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
Kepler-138,Kepler-138 b,10.3134,0.0753,0.000220244630304553,,0.07,,0.64,Transit,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
Kepler-138,Kepler-138 d,23.0923,0.1288,0.00660733890913659,,2.1,,1.51,Transit,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
K2-133,K2-133 b,3.07133,0.03194,0.00742,,2.36,,1.34,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-133,K2-133 c,4.86784,0.04341,0.0101,,3.2,,1.603,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-133,K2-133 d,11.02454,0.07487,0.0147,,4.67,,2.003,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-133,K2-133 e,26.5841,0.1346,0.0115,,3.64,,1.73,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-384,K2-384 e,9.715043,,0.00747,,2.37,,1.345,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384,K2-384 f,13.62749,,0.0175,,5.57,,2.222,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384,K2-384 b,2.231527,,0.00398,,1.26,,1.076,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384,K2-384 c,4.194766,,0.00572,,1.82,,1.191,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384,K2-384 d,6.679582,,0.00792,,2.52,,1.392,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
Kepler-446,Kepler-446 d,5.148921,0.0403,0.00752,,2.39,,1.35,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-446,Kepler-446 b,1.565409,0.0182,0.00899,,2.86,,1.5,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-446,Kepler-446 c,3.036179,0.0283,0.00444,,1.41,,1.11,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
TOI-1749,TOI-1749 c,4.4929,0.0443,0.0440489260609106,,14.0,,2.12,Transit,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>
TOI-1749,TOI-1749 b,2.38839,0.0291,0.179342056105136,,57.0,,1.39,Transit,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>
